Year,B90_CPUE,B90_JuvCPUE,B90_SubadultCPUE,B90_AdultCPUE,B90_ImmatureFemaleCPUE,B90_MatureFemaleCPUE,B90_ImmatureMaleCPUE,B90_MatureMaleCPUE,B90_SublegalCPUE,B90_LegalCPUE,B90_CPUELAG1,B90_JuvCPUELAG1,B90_SubadultCPUELAG1,B90_AdultCPUELAG1,B90_ImmatureFemaleCPUELAG1,B90_MatureFemaleCPUELAG1,B90_ImmatureMaleCPUELAG1,B90_MatureMaleCPUELAG1,B90_SublegalCPUELAG1,B90_LegalCPUELAG1,P88_CPUE,P88_SublegalCPUE,P88_LegalCPUE,P88_CPUELAG1,P88_SublegalCPUELAG1,P88_LegalCPUELAG1,T06_CPUE,T06_CPUELAG1,T38_CPUE,T38_JuvCPUE,T38_SubadultCPUE,T38_AdultCPUE,T38_ImmatureFemaleCPUE,T38_MatureFemaleCPUE,T38_ImmatureMaleCPUE,T38_MatureMaleCPUE,T38_SublegalCPUE,T38_LegalCPUE,T38_CPUELAG1,T38_JuvCPUELAG1,T38_SubadultCPUELAG1,T38_AdultCPUELAG1,T38_ImmatureFemaleCPUELAG1,T38_MatureFemaleCPUELAG1,T38_ImmatureMaleCPUELAG1,T38_MatureMaleCPUELAG1,T38_SublegalCPUELAG1,T38_LegalCPUELAG1,AshleyLandingsCPUE,CooperLandingsCPUE,ChsHarborLandingsCPUE,WandoLandingsCPUE,SumLandingsCPUE,MeanLandingsCPUE
2004,19.75694444,4.130611863,11.38067691,4.245655674,5.768226247,3.274979247,3.352263841,2.737955217,15.51128877,4.245655674,6.0625,0.479166667,1.847222222,3.736111111,1.597222222,3.458333333,0.520833333,0.486111111,2.326388889,4.245655674,114.3237293,60.55274861,53.77098065,16.879754,8.912686754,7.967067248,,,8.725946276,2.713675214,3.947191697,1.842857143,3.138156288,0.239010989,2.610927961,2.515628816,6.660866911,1.842857143,2.365555556,0.531666667,1.230555556,0.603333333,0.782222222,0.04,0.796111111,0.747222222,1.762222222,0.603333333,2.330669865,2.452029551,2.363444093,3.601048598,10.74719211,2.686798027
2005,13.94583333,6.103115079,6.407519841,1.435198413,7.169404762,0.88,4.573531746,1.322896825,12.51063492,1.435198413,19.75694444,4.130611863,11.38067691,4.245655674,5.768226247,3.274979247,3.352263841,2.737955217,15.51128877,1.435198413,65.96144796,34.92606852,31.03537944,114.3237293,60.55274861,53.77098065,,,4.05849359,1.293269231,2.178685897,0.586538462,1.362980769,0.153044872,1.664262821,0.878205128,3.471955128,0.586538462,8.725946276,2.713675214,3.947191697,1.842857143,3.138156288,0.239010989,2.610927961,2.515628816,6.660866911,1.842857143,2.753821348,3.065894459,3.263968008,3.814460297,12.89814411,3.224536028
2006,15.09848485,7.451588432,5.684793759,1.962102657,7.546071795,1.156239664,4.821191592,1.574981797,13.13638219,1.962102657,13.94583333,6.103115079,6.407519841,1.435198413,7.169404762,0.88,4.573531746,1.322896825,12.51063492,1.962102657,55.55014446,28.31502517,27.23511929,65.96144796,34.92606852,31.03537944,1.596656406,,3.090277778,1.195833333,1.300757576,0.593686869,1.249242424,0.06780303,0.968686869,0.804545455,2.496590909,0.593686869,4.05849359,1.293269231,2.178685897,0.586538462,1.362980769,0.153044872,1.664262821,0.878205128,3.471955128,0.586538462,2.491597788,2.886101399,3.497397593,3.258794805,12.13389158,3.033472896
2007,9.592013889,3.803229626,4.346304593,1.44247967,4.150455367,0.872124989,3.640341084,0.92909245,8.149534219,1.44247967,15.09848485,7.451588432,5.684793759,1.962102657,7.546071795,1.156239664,4.821191592,1.574981797,13.13638219,1.44247967,43.51330637,19.81666839,23.69663798,55.55014446,28.31502517,27.23511929,1.722439093,1.596656406,2.301420455,0.438825758,1.084375,0.778219697,0.748863636,0.016666667,0.588257576,0.947632576,1.523200758,0.778219697,3.090277778,1.195833333,1.300757576,0.593686869,1.249242424,0.06780303,0.968686869,0.804545455,2.496590909,0.593686869,2.400821026,2.611519636,2.812669455,3.221146171,11.04615629,2.761539072
2008,10.03125,3.488908269,3.9271711,2.61517063,4.504485125,1.681291844,2.641245952,1.204227079,7.41607937,2.61517063,9.592013889,3.803229626,4.346304593,1.44247967,4.150455367,0.872124989,3.640341084,0.92909245,8.149534219,2.61517063,51.87003437,21.670259,30.19977537,43.51330637,19.81666839,23.69663798,2.202487118,1.722439093,4.104166667,1.260416667,1.708333333,1.135416667,1.307291667,0.223958333,1.286458333,1.286458333,2.96875,1.135416667,2.301420455,0.438825758,1.084375,0.778219697,0.748863636,0.016666667,0.588257576,0.947632576,1.523200758,0.778219697,2.442702927,3.345429566,2.512984547,2.808728068,11.10984511,2.777461277
2009,1.861111111,0.285714286,0.876984127,0.698412698,0.694444444,0.396825397,0.412698413,0.357142857,1.162698413,0.698412698,10.03125,3.488908269,3.9271711,2.61517063,4.504485125,1.681291844,2.641245952,1.204227079,7.41607937,0.698412698,31.10712204,12.21146553,18.89565651,51.87003437,21.670259,30.19977537,0.622471894,2.202487118,2.295138889,0.789930556,0.850694444,0.654513889,0.678819444,0.046875,0.770833333,0.798611111,1.640625,0.654513889,4.104166667,1.260416667,1.708333333,1.135416667,1.307291667,0.223958333,1.286458333,1.286458333,2.96875,1.135416667,1.622180703,2.767912235,2.128441605,2.617880201,9.136414745,2.284103686
2010,3.602922078,0.368506494,1.36475469,1.869660895,0.937301587,1.455916306,0.476695527,0.630735931,1.733261183,1.869660895,1.861111111,0.285714286,0.876984127,0.698412698,0.694444444,0.396825397,0.412698413,0.357142857,1.162698413,1.869660895,19.28829762,7.598414856,11.68988276,31.10712204,12.21146553,18.89565651,1.258421724,0.622471894,2.875661376,0.994708995,1.423280423,0.457671958,1.08994709,0.060846561,1.174603175,0.55026455,2.417989418,0.457671958,2.295138889,0.789930556,0.850694444,0.654513889,0.678819444,0.046875,0.770833333,0.798611111,1.640625,0.654513889,1.892634345,3.062465468,2.192636318,3.272128501,10.41986463,2.604966158
2011,10.08766234,1.071428571,4.854737855,4.161495911,2.717412217,3.882154882,1.653799904,1.834295334,5.926166426,4.161495911,3.602922078,0.368506494,1.36475469,1.869660895,0.937301587,1.455916306,0.476695527,0.630735931,1.733261183,4.161495911,40.19162949,13.86732412,26.32430537,19.28829762,7.598414856,11.68988276,1.501418722,1.258421724,2.670955882,0.898815359,1.098120915,0.674019608,0.779616013,0.086601307,1.086397059,0.718341503,1.996936275,0.674019608,2.875661376,0.994708995,1.423280423,0.457671958,1.08994709,0.060846561,1.174603175,0.55026455,2.417989418,0.457671958,2.351529225,3.605159165,2.889209376,3.073558607,11.91945637,2.979864093
2012,3.997496684,1.339423077,1.839323607,0.81875,1.679227454,0.675,0.818269231,0.325,3.178746684,0.81875,10.08766234,1.071428571,4.854737855,4.161495911,2.717412217,3.882154882,1.653799904,1.834295334,5.926166426,0.81875,41.76340781,24.05142836,17.71197945,40.19162949,13.86732412,26.32430537,2.46230477,1.501418722,1.35,0.344444444,0.788888889,0.216666667,0.577777778,0.027777778,0.35,0.394444444,1.133333333,0.216666667,2.670955882,0.898815359,1.098120915,0.674019608,0.779616013,0.086601307,1.086397059,0.718341503,1.996936275,0.674019608,2.954244095,3.371014459,3.212964532,3.090378189,12.62860128,3.157150319
2013,2.170138889,1.09375,0.8125,0.263888889,1.236111111,0.277777778,0.538194444,0.118055556,1.90625,0.263888889,3.997496684,1.339423077,1.839323607,0.81875,1.679227454,0.675,0.818269231,0.325,3.178746684,0.263888889,67.42347751,18.07986979,49.34360772,41.76340781,24.05142836,17.71197945,1.338590387,2.46230477,2.201923077,0.453846154,1.020192308,0.727884615,0.503846154,0.100961538,0.8,0.797115385,1.474038462,0.727884615,1.35,0.344444444,0.788888889,0.216666667,0.577777778,0.027777778,0.35,0.394444444,1.133333333,0.216666667,2.593812426,2.90815032,1.784600629,2.429938421,9.716501795,2.429125449
2014,1.6875,0.364583333,0.614583333,0.708333333,0.354166667,0.520833333,0.135416667,0.229166667,0.979166667,0.708333333,2.170138889,1.09375,0.8125,0.263888889,1.236111111,0.277777778,0.538194444,0.118055556,1.90625,0.708333333,33.29984774,18.80520484,14.4946429,67.42347751,18.07986979,49.34360772,0.588738549,1.338590387,1.477777778,0.244444444,0.6,0.633333333,0.711111111,0.133333333,0.133333333,0.5,0.844444444,0.633333333,2.201923077,0.453846154,1.020192308,0.727884615,0.503846154,0.100961538,0.8,0.797115385,1.474038462,0.727884615,2.051106196,2.844751014,2.268621986,2.763561877,9.928041072,2.482010268
2015,3.166666667,1.020833333,0.646130952,1.480952381,0.994642857,1.005952381,0.660416667,0.424404762,1.666964286,1.480952381,1.6875,0.364583333,0.614583333,0.708333333,0.354166667,0.520833333,0.135416667,0.229166667,0.979166667,1.480952381,29.51853716,10.35976789,19.15876927,33.29984774,18.80520484,14.4946429,1.605047227,0.588738549,6.093333333,0.958333333,2.738333333,2.396666667,2.188333333,0.408333333,0.766666667,1.871666667,3.696666667,2.396666667,1.477777778,0.244444444,0.6,0.633333333,0.711111111,0.133333333,0.133333333,0.5,0.844444444,0.633333333,2.230928702,2.694943012,2.376531724,2.227238248,9.529641685,2.382410421
2016,9.818181818,1.056818182,2.227272727,5.965909091,1.75,3.988636364,1.386363636,2.102272727,3.284090909,5.965909091,3.166666667,1.020833333,0.646130952,1.480952381,0.994642857,1.005952381,0.660416667,0.424404762,1.666964286,5.965909091,32.67326143,12.68393488,19.98932655,29.51853716,10.35976789,19.15876927,2.273138556,1.605047227,3.140548341,1.025901876,0.955988456,1.025324675,0.732972583,0.105339105,1.03008658,1.073881674,1.981890332,1.025324675,6.093333333,0.958333333,2.738333333,2.396666667,2.188333333,0.408333333,0.766666667,1.871666667,3.696666667,2.396666667,2.602144762,3.329133448,2.951100941,2.721543483,11.60392263,2.900980659
2017,8.415719697,1.03125,2.645833333,3.634469697,1.958333333,2.832386364,1.1875,1.229166667,3.677083333,3.634469697,9.818181818,1.056818182,2.227272727,5.965909091,1.75,3.988636364,1.386363636,2.102272727,3.284090909,3.634469697,34.47886567,18.37055624,16.10830943,32.67326143,12.68393488,19.98932655,2.029875494,2.273138556,5.057414966,2.141564626,1.582244898,1.333605442,1.820680272,0.377619048,1.569795918,0.680748299,3.723809524,1.333605442,3.140548341,1.025901876,0.955988456,1.025324675,0.732972583,0.105339105,1.03008658,1.073881674,1.981890332,1.025324675,2.789275709,3.130960732,2.731854158,2.47254033,11.12463093,2.781157732
2018,10.42708333,2.135645604,2.857371795,5.079899267,2.793040293,4.506982601,1.583791209,1.116185897,4.993017399,5.079899267,8.415719697,1.03125,2.645833333,3.634469697,1.958333333,2.832386364,1.1875,1.229166667,3.677083333,5.079899267,43.66383453,23.01877687,20.64505767,34.47886567,18.37055624,16.10830943,2.99360873,2.029875494,4.847405372,2.279359393,1.389956068,0.841765125,1.293488592,0.09793956,1.876106682,0.922854868,3.669315461,0.841765125,5.057414966,2.141564626,1.582244898,1.333605442,1.820680272,0.377619048,1.569795918,0.680748299,3.723809524,1.333605442,2.566599868,2.694385236,2.557603059,3.164797381,10.98338554,2.745846386
